国家,确诊,治愈,死亡,日期
中国,544,28,17,2020-01-22
中国,181,2,0,2020-01-23
中国,903,36,26,2020-01-24
中国,1382,39,41,2020-01-25
中国,2073,49,56,2020-01-26
中国,2868,59,82,2020-01-27
美国,5,0,0,2020-01-27
加拿大,1,0,0,2020-01-27
尼泊尔,1,0,0,2020-01-27
日本,4,1,0,2020-01-27
新加坡,4,0,0,2020-01-27
韩国,4,0,0,2020-01-27
泰国,7,2,0,2020-01-27
法国,3,0,0,2020-01-27
澳大利亚,5,0,0,2020-01-27
马来西亚,3,0,0,2020-01-27
越南,2,0,0,2020-01-27
柬埔寨,1,0,0,2020-01-27
中国,4631,73,106,2020-01-28
日本,7,1,0,2020-01-28
新加坡,5,0,0,2020-01-28
德国,1,0,0,2020-01-28
泰国,14,5,0,2020-01-28
斯里兰卡,1,0,0,2020-01-28
中国,6090,119,133,2020-01-29
加拿大,3,0,0,2020-01-29
阿联酋,1,0,0,2020-01-29
新加坡,10,0,0,2020-01-29
德国,4,0,0,2020-01-29
法国,4,0,0,2020-01-29
澳大利亚,7,0,0,2020-01-29
马来西亚,7,0,0,2020-01-29
中国,8150,135,171,2020-01-30
印度,1,0,0,2020-01-30
阿联酋,4,0,0,2020-01-30
日本,11,1,0,2020-01-30
芬兰,1,0,0,2020-01-30
法国,5,0,0,2020-01-30
澳大利亚,8,2,0,2020-01-30
马来西亚,8,0,0,2020-01-30
中国,9824,215,213,2020-01-31
美国,6,0,0,2020-01-31
英国,2,0,0,2020-01-31
俄罗斯,2,0,0,2020-01-31
日本,15,1,0,2020-01-31
新加坡,13,0,0,2020-01-31
德国,5,0,0,2020-01-31
韩国,11,0,0,2020-01-31
泰国,19,5,0,2020-01-31
意大利,2,0,0,2020-01-31
澳大利亚,9,2,0,2020-01-31
中国,11877,274,259,2020-02-01
美国,6,0,0,2020-02-01
印度,1,0,0,2020-02-01
英国,2,0,0,2020-02-01
俄罗斯,2,0,0,2020-02-01
西班牙,7,0,0,2020-02-01
菲律宾,1,0,0,2020-02-01
加拿大,4,0,0,2020-02-01
阿联酋,4,0,0,2020-02-01
尼泊尔,1,0,0,2020-02-01
日本,20,1,0,2020-02-01
新加坡,16,0,0,2020-02-01
德国,1,0,0,2020-02-01
韩国,12,0,0,2020-02-01
芬兰,1,0,0,2020-02-01
泰国,19,5,0,2020-02-01
瑞典,1,0,0,2020-02-01
法国,6,0,0,2020-02-01
意大利,2,0,0,2020-02-01
澳大利亚,9,2,0,2020-02-01
斯里兰卡,1,0,0,2020-02-01
马来西亚,8,0,0,2020-02-01
越南,6,1,0,2020-02-01
柬埔寨,1,0,0,2020-02-01
中国,14507,435,304,2020-02-02
美国,8,0,0,2020-02-02
印度,2,0,0,2020-02-02
菲律宾,2,0,1,2020-02-02
阿联酋,5,0,0,2020-02-02
新加坡,18,0,0,2020-02-02
德国,10,0,0,2020-02-02
韩国,15,0,0,2020-02-02
澳大利亚,12,2,0,2020-02-02
中国,17356,528,361,2020-02-03
美国,9,0,0,2020-02-03
中国,20565,719,426,2020-02-04
美国,11,0,0,2020-02-04
印度,3,0,0,2020-02-04
新加坡,24,0,0,2020-02-04
德国,12,0,0,2020-02-04
韩国,16,0,0,2020-02-04
泰国,25,5,0,2020-02-04
比利时,1,0,0,2020-02-04
